No,Title,Address,Phone,Rating,Reviews,Type,Hours
1,Asmaraloka Coffee,"3H7F+R2W, Plumbon Kidul, Logandeng, Kec. Playen, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55861",,4.8,33,Coffee shop,Open 4 PM ⋅ Closes 12 AM
2,Cafe Codoti Inspirasi,"XF6R+C3J, Dondong, Jetis, Kec. Saptosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55871",,4.8,30,Coffee shop,
3,Cafe Trader 303 Wisanggeni,"Jl. Mgr. Sugiyo Pranoto No.46, Wukirsari, Baleharjo, Kec. Wonosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",81328001533,4.8,24,Coffee shop,Open 8 AM ⋅ Closes 12 AM
4,CHALKO Coffee & Milk - Wonosari,"Perumahan Griya Mulia, Playen I, Playen, Kec. Playen, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55861",82223249987,4.8,9,Coffee shop,Open 9 AM ⋅ Closes 6 PM
5,D'Gurau Cafe n Music,"Sumbermulyo, Kepek, Kec. Wonosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55813",85602423430,5,24,Coffee shop,"Sunday 
 7 AM, Except 10 AM ⋅ Closes 11:30 PM"
6,Ding's Coffee & Eatery,"Jl Wonosari - Yogyakarta, KM 1, Siyono Kecamatan Playen, Gunungkidul, DIY, Kabupaten, Kec. Wonosari, Daerah Istimewa Yogyakarta 55861",85183270724,4.2,197,Coffee shop,Open 10 AM ⋅ Closes 10 PM
7,d'TEKO,"Jl. Pudak No.42, Pandansari, Wonosari, Kec. Wonosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55851",87834926665,4.3,825,Coffee shop,Open 8 AM ⋅ Closes 11 PM
8,Dunia Bakery & Coffee,"3H2P+57H, Jalan Wonosari-Yogya, Wonosari, Siyono Wetan, Logandeng, Kec. Playen, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55861",8222105333,4.4,24,Coffee shop,Open 7:30 AM ⋅ Closes 8:30 PM
9,E.N. Space Coffee,"Ruko Terminal Lawas, Purwosari, Baleharjo, Kec. Wonosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55811",81390351614,5,5,Coffee shop,Open 9 AM ⋅ Closes 11 PM
10,Empat tigabelas mini coffee shop,"Jl. Dewandaru No.58, Madusari, Wonosari, Gunungkidul Regency, Special Region of Yogyakarta 55813, Indonesia",#ERROR!,4.9,29,Cafe,
