No,Title,Address,Phone,Rating,Reviews,Type,Hours
1,Balcos Compound,"6CF2+CRF, Jl. Nologaten, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82117549291,4.5,"1,247",Coffee shop,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
2,Bercanda Coffee & Eatery,"Gg. Pucung Baru II, Ngropoh, Caturtunggal, Kec. Depok, Yogyakarta, Daerah Istimewa Yogyakarta 55281",81226632316,4.4,91,Coffee shop,"{Monday, 12.00–11.30 pm; Tuesday, 12.00–11.30 pm; Wednesday, 12.00–11.30 pm; Thursday, 12.00–11.30 pm; Friday, 12.00–11.30 pm; Saturday, 12.00–11.30 pm; Sunday, 12.00–11.30 pm}"
3,Bonbale Coffee and Farm,"Jl. Balerante, RT.003/RW.009, Ledoklempong, Wono Kerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551",,4.7,752,Coffee shop,
4,Pas Podjok Coffee & Eatery,"Jalan Professor Doktor Wirjono Projodikoro, Jl. Ringroad Selatan Tegal Krapyak No.RT.01, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",82127070180,4.6,"1,115",Coffee shop,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
5,Ever Coffee Yogyakarta,"Jl. Rogoyudan 1 No.1, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",0895-6104-59703,4.6,464,Coffee shop,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
6,Gemati Cafe and Space Yogyakarta,"Jl. Sidomukti, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.6,631,Coffee shop,Open ⋅ Closes 12 AM
7,HOMEGROUND by CRSL,"Jl. Kranggan No.7, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",85962362576,4.8,393,Coffee shop,"{Monday, 7.00 am–11.00 pm; Tuesday, 7.00 am–11.00 pm; Wednesday, 7.00 am–11.00 pm; Thursday, 7.00 am–11.00 pm; Friday, 7.00 am–11.00 pm; Saturday, 7.00 am–11.00 pm; Sunday, 7.00 am–11.00 pm}"
8,Jagongan Coffee Roasters,"Jl. Jogoripon, Jaranan, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta",0895-3355-02262,4.8,382,Coffee shop,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
9,JHONS ROASTERY,"Jetis, Wedomartani, Ngemplak, Sleman Regency, Special Region of Yogyakarta 55584",81390402916,4.9,225,Coffee shop,"{Monday, 8.00 am–9.30 pm; Tuesday, 8.00 am–9.30 pm; Wednesday, 8.00 am–9.30 pm; Thursday, 8.00 am–9.30 pm; Friday, 8.00 am–9.30 pm; Saturday, 8.00 am–9.30 pm; Sunday, 8.00 am–9.30 pm}"
10,Kopi Padasan,"Padasan, Pakembinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582",81225485181,4.8,"2,578",Coffee shop,"{Monday, 11.00 am–8.00 pm; Tuesday, 11.00 am–8.00 pm; Wednesday, 11.00 am–8.00 pm; Thursday, 11.00 am–8.00 pm; Friday, 11.00 am–8.00 pm; Saturday, 7.00 am–9.00 pm; Sunday, 7.00 am–9.00 pm}"
