No,Title,Address,Phone,Rating,Reviews,Type,Hours
1,1001 kopi,"Jl. Sinduadi, Kutu Asem, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",85228281001,4.7,46,Coffee shop,Open ⋅ Closes 11 PM
2,1009 Social Space - Palagan,"Jl. Umbul Permai No.102, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81127013869,4.9,"3,636",Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
3,110 Degree Cafe,"Gg. Apokat, Kledokan, Caturtunggal, Kec. Sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55281",85229969755,4.9,174,Coffee shop,Open ⋅ Closes 2 AM
4,28 Coffee Jakal Km 11,"Pedak, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",#ERROR!,4.7,518,Coffee shop,Open 24 hours
5,7 Clover Coffee,"Jl. Sukoharjo no 132 G, RT.06/RW.30, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",0882-0030-71822,4.8,189,Cafe,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
6,Ad Meliora Coffee and eatery,"8C66+P42, Jl. Nglanjaran, Candirejo, Sardonoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia",#ERROR!,4.8,30,Coffee shop,Open 24 hours
7,Agoge Cafe,"Jl. Bima Jl. Panggungsari No.164f, Wonorejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",,4.6,414,Cafe,"{Monday, 7.00 am–11.00 pm; Tuesday, 7.00 am–11.00 pm; Wednesday, 7.00 am–11.00 pm; Thursday, 7.00 am–11.00 pm; Friday, 7.00 am–11.00 am; Saturday, 7.00 am–11.00 am; Sunday, 7.00 am–11.00 pm}"
8,Allerta Coffee,"Kaliwanglu, Kalidadap, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582, Indonesia",#ERROR!,4.8,21,Coffee shop,Closed ⋅ Opens 3 PM
9,ALOHA JOGJA,"RT.01, Karang Bajang, Tlogoadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55286",81326054079,4.6,307,Coffee shop,Open ⋅ Closes 11 PM
10,"Altilis Coffee, Smoothies, and Eatery","Jalan Baru Mulungan No.88, RW No.RT.04, Gilingan, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",82227282024,4.9,118,Coffee shop,Open ⋅ Closes 11 PM
11,Aming Coffee,"Jl. Gito Gati Jl. Grojogan No.Km. 1, Penggung, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511",,4.6,421,Coffee shop,Open ⋅ Closes 10 PM
12,Anomie Coffee,"Jalan Gandok Baru Condongcatur, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.7,187,Coffee shop,Open ⋅ Closes 10 PM
13,Anteiku Coffee,"Jalan Kaliurang Timur 27, Bakungan, Wedomartani, Ngemplak, Sleman, Daerah, Istimewa Yogyakarta, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",,4.9,27,Coffee shop,
14,ARAH Coffee Pandawa,"Kaliurang St No.27, Karang Wuni, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55284",81128512545,4.5,"1,110",Cafe,Open 24 Hours
15,Astajava Coffee and Roastery,"Tambak Rejo, Sariharjo, Dusun, Tambak Rejo, wonokerso, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",82134407349,4.7,385,Coffee shop,Open ⋅ Closes 11:30 PM
16,ATHENA Coffee Social Space,"Jl. Kakatua No.5 Blok. K, RT.05/RW.07, Pondok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81237791939,5,48,Coffee shop,Open ⋅ Closes 2 AM
17,Awan Mbengi Coffee & Sisha Stall,"Kaliurang St No.KM 9, Gondangan, Sardonoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581, Indonesia",#ERROR!,4.5,1423,Coffee shop,Open ⋅ Closes 12 AM
18,Awor Coffee Kaliurang,"Jl. Besi Jaya, Besi, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",82119318601,4.7,265,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 am; Saturday, 8.00 am–11.00 am; Sunday, 8.00 am–11.00 pm}"
19,Awor Yard & Coffee,"Jl. Palagan Tentara Pelajar P6 No.km 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81227860397,4.6,418,Cafe,Open 24 Hours
20,"Ayam Panggang ""Mbah Mo"" Kaliurang","Kaliurang St No.km 16,5, Kledokan, Umbulmartani, Ngemplak, Sleman Regency, Special Region of Yogyakarta 55582, Indonesia",#ERROR!,4.7,2942,Coffee shop,Open ⋅ Closes 8 PM
21,Ayem-Ayem Coffee,"Jl. Jugang Pangukan No.13B, Panglikan, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286",82328028508,4.5,463,Coffee shop,Open ⋅ Closes 11 PM
22,Ayom Cafe,"Jl. Dalgino, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",8112957095,4.7,"3,716",Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
23,Balcos Compound,"6CF2+CRF, Jl. Nologaten, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82117549291,4.5,"1,247",Cafe,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
24,"Bangi Kopi, Sleman City Hall, Yogyakarta","79H6+PX5, Jl. Gito Gati, Denggung, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511",2742885708,4.2,233,Coffee shop,Open ⋅ Closes 10 PM
25,BEBASS - Coffee & Story,"Bedingin, Sumberadi, Mlati, Sleman Regency, Yogyakarta, Daerah Istimewa Yogyakarta 55288",89619178575,4.9,48,Coffee shop,Closed ⋅ Opens 3 PM
26,Bestfrengs Yogyakarta,"Jl. Pandega Sakti No.3, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",82244029460,5,13,Cafe,"{Monday, 2.00–10.00 pm; Tuesday, 2.00–10.00 pm; Wednesday, 2.00–10.00 pm; Thursday, 2.00–10.00 pm; Friday, 2.00–10.00 pm; Saturday, 2.00–10.00 pm; Sunday, 2.00–10.00 pm}"
27,Beyek Kopi Manual Brew,"Daerah Istimewa, Sanggrahan, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286",85647346778,4.9,15,Coffee shop,Closed ⋅ Opens 7 PM
28,Bintang Coffee View Merapi,"Jl. Meces, Legolan, Umbulmartani, Ngemplak, Sleman Regency, Special Region of Yogyakarta 55583, Indonesia",#ERROR!,4.6,50,Coffee shop,Open ⋅ Closes 11 PM
29,Bits of Bites,"100 M Utara PonPes, Jl. Pandanaran Jl. Kaliurang No.3, Turen, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",#ERROR!,5,36,Coffee shop,Open ⋅ Closes 7 PM
30,Blok House,"69GG+45X GIK UGM, Jl. Persatuan, Sendowo, Sinduadi, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55223",0895-8066-85207,4.9,77,Cafe,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
31,Blue Heron,"Jl. Asem Gede No.23, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82228888220,4.8,525,Cafe,"{Monday, 11.00 am–4.00 pm; Tuesday, 6.30 am–10.00 pm; Wednesday, 6.30 am–9.00 pm; Thursday, 6.30 am–10.00 pm; Friday, 6.30 am–9.00 pm; Saturday, 6.30 am–10.00 pm; Sunday, 6.30 am–10.00 pm}"
32,Bootchin Coffee @T3lu Jakal Yogyakarta,"Gg Anggrek No 36 Gondangan RT/RW 05/45, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",#ERROR!,5,7,Coffee shop,Open ⋅ Closes 9 pm
33,Brainly Coffee & Store,"Ruko permai, Jl. Pandega Marta III Jl. Ring Road Utara No.3, Purwosari, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",,4.9,43,Coffee shop,Open ⋅ Closes 11:30 PM
34,Bestie Kopi Jogja,"Jl. Palagan Tentara Pelajar No.126, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",8112909975,4.8,54,Cafe,"{Monday, 7.00 am–9.00 pm; Tuesday, 7.00 am–9.00 pm; Wednesday, 7.00 am–9.00 pm; Thursday, 7.00 am–9.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–9.00 pm}"
35,Caboot 1911 Coffee House,"79CG+6M6, Jl. Shinta, Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",87886674646,4.7,281,Coffee shop,Open ⋅ Closes 10 PM
36,Cafe Bico,"69M7+F9W, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",,4.8,140,Cafe,"{Monday, 8.00 am–7.00 pm; Tuesday, 8.00 am–7.00 pm; Wednesday, 8.00 am–7.00 pm; Thursday, 8.00 am–7.00 pm; Friday, 8.00 am–7.00 pm; Saturday, 8.00 am–7.00 pm; Sunday, Closed}"
37,Canie Coffee & Space,"Jl. Pandega Marta No.99, RT.03 RW01/RW.Kalurahan, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81138239900,4.5,303,Cafe,"{Monday, 9.00 am–12.30 am; Tuesday, 9.00 am–12.30 am; Wednesday, 9.00 am–12.30 am; Thursday, 9.00 am–12.30 am; Friday, 9.00 am–12.30 am; Saturday, 9.00 am–12.30 am; Sunday, 9.00 am–12.30 am}"
38,CAPSLOCK COFFEE,"Blk. A No.a15, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",8982252555,4.5,343,Cafe,"{Monday, 9.00 am–11.30 pm; Tuesday, 9.00 am–11.30 pm; Wednesday, 9.00 am–11.30 pm; Thursday, 9.00 am–11.30 pm; Friday, 9.00 am–11.30 pm; Saturday, 9.00 am–11.30 pm; Sunday, 9.00 am–11.30 pm}"
