No,Title,Address,Phone,Rating,Reviews,Type,Hours
1,꧋ꦏꦺꦴꦥꦶꦱꦸꦭꦶꦁꦔꦤ꧀꧈Kopi Sulingan,"64M8+86G, Jl. Sermo - Girimulyo, Banyunganti, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",,4.6,178,Coffee shop,
2,BoVa Eatery and Coffee,"Serut, Pengasih, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652",83874225667,4.6,26,Coffee shop,
3,Brew@Home,"Jl. Wates - Purworejo No.KM 10, Seling, Temon Kulon, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654",87843588459,4.9,154,Coffee shop,
4,BURON'S Coffee & Kitchen,"Jl. Margosari, Kembang, Margosari, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652",,4.7,515,Coffee shop,
5,Chillax Coffee,"Jl. Tentara Pelajar No.44, Area Sawah, Wates, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651",,4.9,132,Coffee shop,
6,Coffee Angkasa /food & bavarage,"642C+3RQ Obyek, Jl. Wisata Pule Payung, Soropati, Hargotirto, Kokap, Kulon Progo Regency, Special Region of Yogyakarta 55653",82322966355,3.9,68,Coffee shop,
7,Coffee Brother - Coffee & Micro Roastery,"Carikan, Bumirejo, Kec. Lendah, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55663",85725724818,4.7,162,Coffee shop,
8,Dee Space (Angkringan) Free Wifi,"55CX+JVV, Ngrandu, Kaliagung, Kec. Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55664",85326080608,5,11,Coffee shop,
9,d'shaka coffee,"Jl. Persandian, Ngipikrejo, Banjararum, Kec. Kalibawang, Kab. Kulon Progo DI Yogyakarta, Kabupaten Kulon Progo, Jawa Tengah 55672",8121305302,5,55,Coffee shop,
10,D'Srupat Sruput,"45R5+MGM, Jl. Tamtama, Terbah, Wates, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55611",,4,313,Coffee shop,
11,Etlabs.co,"Jl. KRT. Brotodiningrat, Granti Wetan, Ngestiharjo, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651",83829863799,4.9,50,Coffee shop,
